Date,Andaman,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Daman,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
2020-03-12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,14.0,0.0,1.0,0.0,4.0,14.0,3.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,11.0,0.0,0.0
2020-03-13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,14.0,0.0,1.0,0.0,4.0,14.0,3.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,11.0,0.0,0.0
2020-03-14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,14.0,0.0,2.0,0.0,5.0,16.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0
2020-03-15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,14.0,0.0,2.0,0.0,5.0,19.0,3.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,2.0,0.0,8.0,0.0,0.0
2020-03-16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,14.0,0.0,3.0,0.0,5.0,20.0,4.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,9.0,1.0,0.0
2020-03-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,15.0,0.0,3.0,0.0,10.0,23.0,6.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,10.0,1.0,0.0
2020-03-18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,16.0,0.0,3.0,0.0,10.0,24.0,8.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,11.0,1.0,0.0
2020-03-19,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,17.0,0.0,4.0,0.0,13.0,24.0,8.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0,5.0,0.0,12.0,1.0,1.0
2020-03-20,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,13.0,0.0,2.0,17.0,0.0,4.0,0.0,14.0,25.0,10.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,2.0,15.0,0.0,10.0,1.0,1.0
2020-03-21,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,20.0,0.0,7.0,17.0,2.0,4.0,0.0,13.0,37.0,13.0,0.0,4.0,51.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,14.0,0.0,2.0,18.0,0.0,15.0,3.0,2.0
2020-03-22,0.0,5.0,0.0,0.0,1.0,5.0,1.0,0.0,23.0,0.0,17.0,21.0,2.0,4.0,0.0,23.0,49.0,13.0,0.0,4.0,65.0,0.0,0.0,0.0,0.0,2.0,1.0,20.0,21.0,0.0,6.0,21.0,0.0,18.0,3.0,4.0
2020-03-23,0.0,7.0,0.0,0.0,1.0,6.0,1.0,0.0,23.0,0.0,28.0,26.0,2.0,4.0,0.0,30.0,64.0,13.0,0.0,6.0,72.0,0.0,0.0,0.0,0.0,2.0,1.0,20.0,25.0,0.0,8.0,31.0,0.0,22.0,3.0,7.0
2020-03-24,0.0,7.0,0.0,0.0,1.0,6.0,1.0,0.0,24.0,0.0,28.0,15.0,2.0,4.0,0.0,34.0,91.0,13.0,0.0,7.0,85.0,0.0,0.0,0.0,0.0,2.0,1.0,20.0,30.0,0.0,11.0,31.0,0.0,24.0,3.0,6.0
2020-03-25,0.0,8.0,0.0,0.0,2.0,7.0,1.0,0.0,22.0,0.0,32.0,17.0,2.0,4.0,0.0,33.0,91.0,13.0,0.0,7.0,87.0,1.0,0.0,0.0,0.0,2.0,1.0,28.0,29.0,0.0,14.0,34.0,0.0,22.0,4.0,8.0
2020-03-26,0.0,10.0,0.0,0.0,2.0,7.0,3.0,0.0,28.0,3.0,36.0,19.0,2.0,10.0,0.0,37.0,114.0,13.0,0.0,14.0,120.0,1.0,0.0,1.0,0.0,2.0,1.0,32.0,35.0,0.0,24.0,40.0,0.0,26.0,5.0,8.0
2020-03-27,1.0,11.0,0.0,0.0,5.0,7.0,6.0,0.0,29.0,3.0,40.0,19.0,2.0,11.0,0.0,50.0,126.0,10.0,0.0,19.0,111.0,1.0,0.0,1.0,0.0,2.0,1.0,32.0,38.0,0.0,27.0,44.0,0.0,30.0,5.0,9.0
2020-03-28,6.0,13.0,0.0,0.0,8.0,8.0,6.0,0.0,32.0,3.0,42.0,21.0,2.0,18.0,0.0,50.0,165.0,10.0,0.0,28.0,150.0,1.0,0.0,1.0,0.0,3.0,1.0,36.0,51.0,0.0,37.0,55.0,0.0,44.0,5.0,14.0
2020-03-29,9.0,13.0,0.0,0.0,8.0,8.0,6.0,0.0,31.0,3.0,49.0,21.0,2.0,29.0,0.0,68.0,166.0,10.0,0.0,28.0,155.0,1.0,0.0,1.0,0.0,3.0,1.0,36.0,51.0,0.0,39.0,64.0,0.0,44.0,5.0,16.0
2020-03-30,9.0,18.0,0.0,0.0,10.0,8.0,7.0,0.0,45.0,5.0,52.0,16.0,2.0,28.0,0.0,72.0,174.0,10.0,0.0,31.0,160.0,1.0,0.0,1.0,0.0,3.0,1.0,36.0,54.0,0.0,45.0,67.0,0.0,64.0,5.0,18.0
2020-03-31,10.0,39.0,0.0,0.0,14.0,13.0,8.0,0.0,89.0,5.0,64.0,19.0,2.0,50.0,0.0,75.0,214.0,10.0,0.0,44.0,168.0,1.0,0.0,1.0,0.0,3.0,1.0,37.0,71.0,0.0,69.0,77.0,0.0,87.0,5.0,24.0
2020-04-01,10.0,82.0,0.0,0.0,22.0,13.0,9.0,0.0,112.0,5.0,63.0,22.0,2.0,51.0,0.0,90.0,216.0,10.0,0.0,44.0,254.0,1.0,0.0,1.0,0.0,4.0,1.0,37.0,90.0,0.0,119.0,90.0,0.0,89.0,5.0,24.0
2020-04-02,10.0,84.0,0.0,1.0,22.0,16.0,7.0,0.0,144.0,5.0,71.0,22.0,1.0,58.0,1.0,98.0,238.0,10.0,0.0,93.0,280.0,1.0,0.0,1.0,0.0,4.0,2.0,41.0,105.0,0.0,227.0,92.0,0.0,97.0,5.0,28.0
2020-04-03,10.0,130.0,1.0,16.0,23.0,18.0,7.0,0.0,207.0,6.0,72.0,22.0,4.0,65.0,2.0,111.0,257.0,11.0,0.0,93.0,277.0,2.0,0.0,1.0,0.0,5.0,2.0,41.0,130.0,0.0,302.0,103.0,0.0,97.0,8.0,47.0
2020-04-04,10.0,159.0,1.0,24.0,28.0,18.0,6.0,0.0,372.0,6.0,76.0,25.0,4.0,70.0,2.0,113.0,252.0,11.0,0.0,98.0,362.0,2.0,0.0,1.0,0.0,5.0,4.0,47.0,176.0,0.0,404.0,150.0,0.0,153.0,14.0,57.0
2020-04-05,10.0,159.0,1.0,24.0,29.0,18.0,6.0,0.0,424.0,7.0,81.0,25.0,4.0,86.0,2.0,128.0,255.0,4.0,0.0,98.0,424.0,2.0,0.0,1.0,0.0,20.0,4.0,51.0,179.0,0.0,476.0,230.0,0.0,206.0,20.0,56.0
