news_headline,news_article,news_category
"I'm a sucker for underdog stories, talking to Varun a priceless moment: Harsha ","Talking about KKR spinner Varun Chakravarthy, who took the first five-wicket haul of IPL 2020, commentator Harsha Bhogle tweeted, ""I'm a sucker for underdog stories and so talking to Varun...at presentation was a priceless moment for me."" In the interaction, architect-turned-cricketer Varun revealed he started his spin bowling in 2018 and he still likes freelancing as an architect.",sports
Bolta hoon bhai: Rajasthan Royals to fan requesting Stokes to hit 1st six in IPL 2020,"A fan took to Twitter to request Rajasthan Royals to ask their all-rounder Ben Stokes to start hitting sixes in IPL 2020. The fan also mentioned that he is not able to get a job and he will get some happiness if at least Stokes starts hitting sixes. Rajasthan Royals responded to the fan, writing, ""Bolta hoon bhai.""",sports
Why are KXIP players wearing black armbands in their match against SRH today?,"Kings XI Punjab cricketers are wearing black armbands in their match against SRH today as a tribute to batsman Mandeep Singh's father Hardev Singh, who passed away last night. Mandeep opened for KXIP against SRH despite his father's death, as a replacement of injured Mayank Agarwal. Mandeep's father passed away after a prolonged illness.",sports
IPL 2020 points table is getting interesting: Yuvraj after KXIP's win over SRH,"After KXIP took SRH's last six wickets in 13 balls to defend a 126-run total against them, Yuvraj Singh tweeted, ""I told you this team has got some momentum going. KXIP snatched the game out of SRH's hands."" He added, ""That's what happens if you don't go ahead of the run rate in a low scoring game! Table's getting interesting?""",sports
How many Indian cricketers have hit 100 sixes in IPL history?,"DC's Rishabh Pant today became the 14th Indian to hit 100 sixes in IPL. CSK captain MS Dhoni has hit the most sixes among Indians in IPL (216). Other Indians to hit 100 sixes include Rohit Sharma, Virat Kohli, Suresh Raina, Robin Uthappa, Yusuf Pathan, Yuvraj SIngh, Ambati Rayudu, Sanju Samson, Virender Sehwag, Shikhar Dhawan, Dinesh Karthik and KL Rahul.",sports
Sandeep becomes 6th Indian pacer to take 100 IPL wickets,"SRH pacer Sandeep Sharma on Saturday became the sixth Indian fast bowler to take 100 wickets in IPL. The 27-year-old achieved the feat after dismissing KXIP's Mandeep Singh. Sandeep reached the milestone in his 87th IPL match. Bhuvneshwar Kumar, Umesh Yadav, Ashish Nehra, Vinay Kumar and Zaheer Khan are the other Indian pacers to take at least 100 IPL wickets.",sports
"Who is Varun Chakravarthy, ex-architect who recorded best bowling figures of IPL 2020?","KKR spinner Varun Chakravarthy was born on August 29, 1991, in Karnataka's Bidar. He pursued architecture from Chennai's SRM University and worked as a freelance architect before turning to cricket. He debuted for Tamil Nadu in 2018 and was bought by KXIP for ₹8.4 crore at IPL 2019 auction. KKR bought him for ₹4 crore at IPL 2020 auction.",sports
Why did KKR's Rana flaunt jersey with 'Surinder' written on it after hitting 50 vs DC?,"Kolkata Knight Riders batsman Nitish Rana flaunted a jersey with 'Surinder' written on it after reaching his 10th fifty in IPL against DC today. He dedicated his fifty to his father-in-law Surinder Marwah, who passed away due to cancer recently. Surinder was a national awardee bronze sculptor. He was 63.",sports
KKR hand DC their 2nd loss in a row as Varun records best bowling figures of IPL 2020,"KKR defeated DC by 59 runs in Abu Dhabi on Saturday to register their sixth victory in IPL 2020. DC have now lost two matches in a row and are placed second on the points table. Meanwhile, KKR are fourth on the points table. The match witnessed KKR spinner Varun Chakravarthy register the best bowling figures of IPL 2020 (4-0-20-5).",sports
"Hats off for turning up: Sachin on Rana, Mandeep playing on Sat despite tragedies","Former India batsman Sachin Tendulkar lauded KKR's Nitish Rana and KXIP's Mandeep Singh for playing their respective matches in IPL on Saturday despite family tragedies. ""Loss of a loved one hurts, but what's more heartbreaking is when one doesn't get to say a final goodbye...Hats off for turning up,"" Sachin wrote. Rana lost his father-in-law, while Mandeep's father passed away.",sports
